username,followers,following,posts,avg_likes,avg_comments,category,label
@real_user_54,366981,310903,580,20432,2462,Gaming,Real
@fake_user_6,590457,596,13,248,0,Fitness,Unknown
@real_user_50,326020,776458,193,22710,1618,Fashion,Real
@real_user_115,257492,245561,276,10456,1274,Lifestyle,Real
@real_user_46,357164,328760,443,35244,4593,Fitness,Real
@fake_user_19,1631876,734,38,3820,17,Fashion,Unknown
@real_user_61,40547,76900,499,4251,616,Food,Real
@fake_user_27,178249,181,11,217,1,Lifestyle,Unknown
@real_user_79,150776,210505,790,14463,1076,Fashion,Real
@real_user_59,188186,134339,139,11134,865,Beauty,Real
@real_user_91,225053,417553,460,17770,2225,Gaming,Real
@real_user_41,40247,16085,272,2184,247,Food,Real
@real_user_58,18843,29875,705,1399,157,Gaming,Real
@real_user_90,61302,40876,672,3121,372,Fitness,Real
@real_user_48,49811,69358,778,1850,191,Lifestyle,Real
@real_user_88,24282,30743,575,2095,275,Beauty,Real
@real_user_107,62175,30348,200,3129,160,Fitness,Real
@fake_user_4,1471741,589,26,6237,24,Lifestyle,Unknown
@real_user_21,271295,149115,200,22021,1852,Gaming,Real
@real_user_57,496764,229680,276,45852,6845,Tech,Real
@fake_user_24,599616,191,68,1591,14,Tech,Unknown
@fake_user_9,1393741,417,66,499,0,Beauty,Unknown
@real_user_37,273847,193208,176,16436,1234,Fashion,Real
@fake_user_20,1113089,636,14,304,1,Tech,Unknown
@real_user_1,91090,226164,210,8325,416,Travel,Real
@real_user_52,29394,14257,702,2491,149,Beauty,Real
@fake_user_10,709719,458,93,1456,2,Fitness,Unknown
@real_user_103,143607,211935,162,6785,697,Food,Real
@real_user_99,189649,70599,228,12944,1407,Lifestyle,Real
@real_user_116,33769,72649,556,1426,94,Fitness,Real
@real_user_87,10415,6874,774,363,25,Fitness,Real
@real_user_74,9432,13964,105,262,38,Lifestyle,Real
@fake_user_1,1171256,588,35,2926,8,Gaming,Unknown
@fake_user_29,228232,464,44,444,0,Beauty,Unknown
@real_user_20,333883,356274,760,13621,1783,Travel,Real
@real_user_71,29214,19839,683,2652,309,Tech,Real
@real_user_106,13519,33462,337,949,123,Beauty,Real
@real_user_14,125766,264062,794,3228,299,Tech,Real
@real_user_92,153677,323761,208,14323,1206,Gaming,Real
@real_user_102,333554,558685,526,26325,2548,Lifestyle,Real
